model,k,RSS,R2,R2adj,AIC,BIC,dAIC,dBIC
M1: Y ~ 1,1,465.212477,0.0,0.0,159.459548,162.956716,0.0,0.0
M2: Y ~ A+B+C,4,456.347194,0.019056,0.006795,160.764907,174.75358,1.305359,11.796864
M3: Y ~ A+B+C+A:B,5,455.991267,0.019822,0.003417,162.574526,180.060367,3.114978,17.103651
M4: Y ~ A+B+C+B:C,5,455.950822,0.019908,0.003505,162.552882,180.038723,3.093335,17.082007
M5: Y ~ A+B+C+A:C,5,456.060776,0.019672,0.003265,162.611717,180.097558,3.152169,17.140842
M6: Y ~ A+B+C+A:B+B:C+A:C,7,455.49127,0.020896,-0.003891,166.306831,190.787009,6.847283,27.830293
M7: Y ~ A+B+C+A:B+B:C+A:C+A:B:C,8,454.403248,0.023235,-0.005737,167.723297,195.700643,8.263749,32.743927
