criterion,method,selected,k,RSS,R2,R2adj,AIC,BIC
AIC,FS(前向),PS + HS + SH + SQ + EA,6,41513.506339,0.988752,0.988747,14246.337353,14289.599395
AIC,BE(后向),HS + PS + EA + SH + SQ,6,41513.506339,0.988752,0.988747,14246.337353,14289.599395
AIC,FS+BE(逐步),PS + HS + SH + SQ + EA,6,41513.506339,0.988752,0.988747,14246.337353,14289.599395
BIC,FS(前向),PS + HS + SH + SQ + EA,6,41513.506339,0.988752,0.988747,14246.337353,14289.599395
BIC,BE(后向),HS + PS + EA + SH + SQ,6,41513.506339,0.988752,0.988747,14246.337353,14289.599395
BIC,FS+BE(逐步),PS + HS + SH + SQ + EA,6,41513.506339,0.988752,0.988747,14246.337353,14289.599395
