model,k,RSS,R2,R2adj,AIC,BIC,LOOCV
natural cubic spline K=10,10.0,986758921.585906,0.618506,0.608807,5411.85281,5450.824349,2851343.837477
cubic spline K=7,11.0,986133465.729445,0.618748,0.607948,5413.622016,5456.490709,2857259.630697
smoothing spline (edf=8.3),8.35,996450722.910783,0.614759,0.606802,5412.101962,5444.626516,2865369.768497
natural spline K=4 (BIC choice),4.0,1029011424.362239,0.602171,0.598856,5415.114632,5430.703248,2885111.285379
cubic spline K=2 (BIC choice),6.0,1018980556.547343,0.606049,0.600547,5415.54893,5438.931853,2908141.667878
cubic polynomial,4.0,1052834151.24581,0.592961,0.589569,5423.445559,5439.034174,2956463.138541
