PC,eigenvalue,var_ratio_standardized,cum_standardized,var_ratio_raw,cum_raw,eigen_numpy
PC1,4.545066,0.482052,0.482052,1.0,1.0,4.338472
PC2,1.237144,0.131212,0.613265,0.0,1.0,1.18091
PC3,1.053073,0.11169,0.724954,0.0,1.0,1.005206
PC4,0.918099,0.097374,0.822328,0.0,1.0,0.876368
PC5,0.75895,0.080495,0.902823,0.0,1.0,0.724452
PC6,0.389866,0.041349,0.944172,0.0,1.0,0.372145
PC7,0.23021,0.024416,0.968589,0.0,1.0,0.219746
PC8,0.160688,0.017043,0.985631,0.0,1.0,0.153384
PC9,0.135475,0.014369,1.0,0.0,1.0,0.129317
